SpeechID_PK,PlayID_FK,CharacterID_FK,Character_name,Speech_towards,Speech_Lines
S1000081,P003,C0001,KATH,,"You do, don’t you? Here let me take your coat. (Helps him off with his coat.) You’ve got a delicate skin. (Touches his neck. His cheek.)"
S1000082,P003,C0001,KATH,,(kisses his cheek) Just a motherly kiss. A real mother’s kiss. (Silence. Lifts his arms and folds them about her.) You’ll find me very sentimental. I upset easy. (His arms are holding her.) When I hear of… tragedies happening to perfect strangers. There are so many ruined lives. (Puts her head on his shoulder.) You must treat me gently when I'm in one of my moods.
S1000084,P003,C0001,KATH,,We’ll come to some arrangement. A cup of tea?
S1000086,P003,C0001,KATH,,I’ll get you one.
S1000088,P003,C0001,KATH,,Now?
S1000090,P003,C0001,KATH,,You must do as you think fit.
S1000093,P003,C0001,KATH,,(calls) I’m in here. Don’t stand about. Sit down. Go on. We don’t charge.
S1000095,P003,C0001,KATH,,A visitor.
S1000097,P003,C0001,KATH,,"You are the limit. You show me up no end. It isn’t ED. (Pause.) You behave like a sick child. I’m just about tired of it. Afraid to have a guest or a friend in the house. You put them off, Dadda. Let him shake your hand. Go on."
S1000100,P003,C0001,KATH,,Mr SLOANE is going to stay with us.
S1000102,P003,C0001,KATH,,That’s what I said.
S1000104,P003,C0001,KATH,,Make an effort will you? What will the gentleman think? He’ll think you’re a rude old man. (Exchanges looks with SLOANE
S1000106,P003,C0001,KATH,,"No, it isn’t. (To KEMP"
S1000222,P003,C0001,KATH,,"(runs on, drying her hands on her apron, sees SLOANE"
S1000224,P003,C0001,KATH,,(shoos him away) Is there pain?
S1000226,P003,C0001,KATH,,Are you hurt bad?
S1000228,P003,C0001,KATH,,Come on. You’ll be better on the settee. (He allows her to guide him over. She settles him.) What happened? Did he attack you? He’s never shown signs before.
S1000230,P003,C0001,KATH,,Let Mr SLOANE speak for himself.
S1000232,P003,C0001,KATH,,"Throw them, did he?"
S1000234,P003,C0001,KATH,,"I’m ashamed of you, Dadda. Really ashamed. I think you behave very badly. Lie down, Mr SLOANE"
S1000237,P003,C0001,KATH,,"I will. (Goes to the sideboard and rummages in a drawer. Rummages again. Repeat. Second drawer. Takes out and places on top of the sideboard a Boots folder containing snapshots and negatives, a reel of cotton, a piece of unfinished knitting, a tattered knitting pattern, a broken china figure, a magazine, a doorknob and several pieces of silk.)"
S1000239,P003,C0001,KATH,,(runs back with a piece of silk. Lifts his leg. Spreads the silk under the bloody patch) This’ll do. It’s a piece of material my brother brought back. It’s good stuff. I was intending to make a blouse but there’s not enough.
S1000241,P003,C0001,KATH,,"(shouting) What are you doing, Dadda? He gets that thick. (Goes to sideboard.)"
S1000242,P003,C0001,KATH,,(takes it from him) You done enough damage for one day. Make yourself scarce.
S1000243,P003,C0001,KATH,,What a lovely pair of shoes you got. (Unlacing his shoes she takes them off and places them under the settee.)
S1000245,P003,C0001,KATH,,"I wonder, Mr SLOANE"
S1000246,P003,C0001,KATH,,That’s right. (Pause.) Where is it then?
S1000248,P003,C0001,KATH,,"He attacked you from behind? If you ask me it’s only a deep scratch. (Pause.) I don’t think we’ll require outside assistance. (Pause.) Don’t be embarrassed, Mr SLOANE"
S1000250,P003,C0001,KATH,,Just the thing for the germs. (Pause.) You’ve a skin on you like a princess. Better than on those tarts you see dancing about on the telly. I like a lad with a smooth body. (Stops dabbing his leg. Takes up the bandage. Rises. Fetches a pair of scissors. Cuts bandage. Ties it round SLOANE
S1000252,P003,C0001,KATH,,"Attractive, though."
S1000254,P003,C0001,KATH,,Yes. You being a blond.
S1000256,P003,C0001,KATH,,Nature’s a funny thing.
S1000258,P003,C0001,KATH,,Keep your voice down. (Pause.) It’s probably her from the shops. I’ll not answer it. She’s only got one subject for talk.
S1000260,P003,C0001,KATH,,Not if you keep your voice down.
S1000262,P003,C0001,KATH,,"He won’t answer. I don’t want her in here. She tells everybody her business. And if she found me in this predicament she’d think all kinds of things. (Pause.) Her daughter’s involved in a court case at the moment. Tells every detail. The details are endless. I suffer as she recounts. Oh, Mr SLOANE"
S1000264,P003,C0001,KATH,,I wouldn’t want to restrict your circulation.
S1000266,P003,C0001,KATH,,"I’ll sponge these, and there’s a nick in the material. I’ll fix it. (Puts Dettol, bandage, etc, into the sideboard.) This drawer is my medicine cabinet, dear. If you wants an occasional aspirin help yourself. (She comes back.)"
S1000267,P003,C0001,KATH,,(confidentially) I’ve been doing my washing today and I haven’t a stitch on… except my shoes… I’m in the rude under this dress. I tell you because you’re bound to have noticed …
S1000269,P003,C0001,KATH,,"Yes. You’ll notice the length? I’ve got long legs. Long, elegant legs. (Kicks out her leg.) I could give one or two of them a surprise. (Pause.) My look is quite different when I’m in private. (Leans over him.) You can’t see through this dress can you? I been worried for fear of embarrassing you."
S1000270,P003,C0001,KATH,,(leaps back) Mr SLOANE – don’t betray your trust
S1000272,P003,C0001,KATH,,I know what you thought. You wanted to see if my titties were all my own. You’re all the same. (Smirks.) I must be careful of you. Have me naked on the floor if I give you a chance. If my brother was to know … (Pause.) … he’s such a possessive man. (Silence. Stands up.) Would you like to go to bed?
S1000274,P003,C0001,KATH,,You need rest. You’ve had a shock. (Pause.) I’ll bring your supper to your room.
S1000276,P003,C0001,KATH,,The Dadda will fetch it. (Pause.) Can you get up the stairs on your own?
S1000278,P003,C0001,KATH,,(motions him back. Stands in front of him) Just a minute. (Calls). Dadda! (Pause.) Dadda!
S1000280,P003,C0001,KATH,,Turn your face away. Mr SLOANE is passing. He has no trousers on. (Quietly to SLOANE
S1000282,P003,C0001,KATH,,"(calling after him) Have a bath if you want to, dear. Treat the conveniences as if they were your own. (Turns to KEMP"
S1000284,P003,C0001,KATH,,Don’t KATH
S1000286,P003,C0001,KATH,,Upset you? A grown man?
S1000288,P003,C0001,KATH,,You’ve seen the milkman before. That’s no cause to throw the shears at him.
S1000290,P003,C0001,KATH,,Oh? I heard different. (Picks up her handbag and takes out money.) Go and fetch his case. It’ll be about five pence on the bus.
S1000292,P003,C0001,KATH,,(losing her temper) By the Co-op! Behave yourself.
S1000294,P003,C0001,KATH,,That’s the one. Only it is closed. (Pause.) Can you find it?
S1000296,P003,C0001,KATH,,(goes to the window. Over her shoulder) It’s ED die.
S1000298,P003,C0001,KATH,,(speaking to someone outside) Why don’t you come round the right way?
S1000300,P003,C0001,KATH,,Are you coming in?
S1000302,P003,C0001,KATH,,It’s ED die.
S1000304,P003,C0001,KATH,,I don’t expect he wants you to.
S1000306,P003,C0001,KATH,,Tell him what?
S1000311,P003,C0001,KATH,,"Do what I told you, Dadda. Try not to lose yourself. Follow the railings. Then ask somebody."
S1000313,P003,C0001,KATH,,What?
S1000315,P003,C0001,KATH,,"Yes, ED die, I’m listening."
S1000317,P003,C0001,KATH,,No …
S1000319,P003,C0001,KATH,,He’s a guest. He’s not a lodger.
S1000321,P003,C0001,KATH,,I needed a bit extra.
S1000323,P003,C0001,KATH,,I’m taking Dadda away next year.
S1000325,P003,C0001,KATH,,He’s a nice young man.
S1000327,P003,C0001,KATH,,No.
S1000329,P003,C0001,KATH,,"No, ED die."
S1000331,P003,C0001,KATH,,(uneasy) I’m not like that.
S1000333,P003,C0001,KATH,,This young man is quite respectable.
S1000335,P003,C0001,KATH,,He’s young.
S1000337,P003,C0001,KATH,,No.
S1000339,P003,C0001,KATH,,Mr SLOANE is superior to that.
S1000341,P003,C0001,KATH,,In the library.
S1000343,P003,C0001,KATH,,He was having trouble. With his rent. (Pause.) His landlady was unscrupulous.
S1000345,P003,C0001,KATH,,He’s a good boy.
S1000346,P003,C0001,KATH,,It was an accident.
S1000348,P003,C0001,KATH,,Upstairs.
S1000350,P003,C0001,KATH,,He hurt his leg.
S1000352,P003,C0001,KATH,,He’s resting. (Pause.) ED， you won’t tell him to go?
S1000354,P003,C0001,KATH,,I’m not misbehaving. ED， if you send him away I shall cry.
S1000357,P003,C0001,KATH,,(off) Mr SLOANE
S1000359,P003,C0001,KATH,,Let him stay.
S1000361,P003,C0001,KATH,,"He’s cultured, ED. He’s informed."
S1000362,P003,C0001,KATH,,"This is my brother, Mr SLOANE"
S1000377,P003,C0001,KATH,,No.
S1000379,P003,C0001,KATH,,I made them this morning.
S1000381,P003,C0001,KATH,,(going) ED die don’t let me be upset will you? (Exits.)
S1000467,P003,C0001,KATH,,What you want?
S1000469,P003,C0001,KATH,,"Are you staying, Mr SLOANE"
S1000471,P003,C0001,KATH,,All right is it?
S1000473,P003,C0001,KATH,,(pause) He isn’t going away is he?
S1000475,P003,C0001,KATH,,"(as he exits) Have a meal, Mr SLOANE"
S1000477,P003,C0001,KATH,,Can I buy him a shirt?
S1000479,P003,C0001,KATH,,His own mamma can’t.
S1000481,P003,C0001,KATH,,When it’s Christmas can I buy him a little gift?
S1000483,P003,C0001,KATH,,Send him a card?
S1000485,P003,C0001,KATH,,I’d like to. I’d show you beforehand. (Pause.) Can I go to his mamma’s grave?
S1000487,P003,C0001,KATH,,"He wouldn’t, ED die."
S1000489,P003,C0001,KATH,,Where?
S1000491,P003,C0001,KATH,,Are your friends nice?
S1000493,P003,C0001,KATH,,No ladies?
S1000495,P003,C0001,KATH,,Ladies are nice at a gathering.
S1000497,P003,C0001,KATH,,They add colour and gaiety.
S1000499,P003,C0001,KATH,,I hope you have a nice time. Perhaps one day you’ll invite me to your hotel.
S1000501,P003,C0001,KATH,,Show me round.
S1000503,P003,C0001,KATH,,Is it exquisitely furnished? High up?
S1000506,P003,C0001,KATH,,Speak to him Dadda. He’s something to ask you.
S1000508,P003,C0001,KATH,,Come again.
S1000510,P003,C0001,KATH,,Cheerio. (Pause.) I said Cheerio.
S1000511,P003,C0001,KATH,,(goes to door) Why don’t you speak to him?
S1000513,P003,C0001,KATH,,Please.
S1000515,P003,C0001,KATH,,Let me phone saying you changed your mind.
S1000517,P003,C0001,KATH,,Let me phone.
S1000519,P003,C0001,KATH,,"(tearfully) Oh, Dadda, you are unfair. If you don’t speak to him he won’t invite me to his suite. It’s a condition. I won’t be able to go. You found that address?"
S1000521,P003,C0001,KATH,,"Why didn’t you ask? (Pause.) You had a tongue in your head. Oh, Dadda, you make me so angry with your silly ways. (Pause.) What was the house like?"
S1000523,P003,C0001,KATH,,"He said it was a hovel. A boy like him shouldn’t be expected to live with the rougher elements. Do you know, Dadda, he has skin the like of which I never felt before. And he confesses to being an orphan. His story is so sad. I wept when I heard it. You know how soft-hearted I am."
S1000525,P003,C0001,KATH,,Have you seen the optician?
S1000527,P003,C0001,KATH,,Without a word of a lie you are like a little child.
S1000529,P003,C0001,KATH,,You have me.
S1000531,P003,C0001,KATH,,Where to?
S1000533,P003,C0001,KATH,,Too cold.
S1000535,P003,C0001,KATH,,I’d always consult you first.
S1000537,P003,C0001,KATH,,You ought to consult an oculist. See your oculist at once. (Pause.) Go to bed. I’ll bring you a drinkie. In the morning you’ll feel different.
S1000539,P003,C0001,KATH,,I’ve never stopped loving you.
S1000541,P003,C0001,KATH,,(angrily) You’ve been at that ham haven’t you? Half a jar of pickles you’ve put away. Don’t moan to me if you’re up half the night with the tummy ache. I’ve got no sympathy for you.
S1000543,P003,C0001,KATH,,"(watches him out of the door. Looks through into the kitchen) All right, Mr SLOANE"
S1000545,P003,C0001,KATH,,"You have? I’m so glad. I don’t want to disturb you at your food. (Sees knitting on sideboard, picks it up.) Come into the lounge if you wish. I'm just at a quiet bit of knitting before I go to bed."
S1000547,P003,C0001,KATH,,I’ll give you a splendid breakfast in the morning. (Realizes that there is only one needle in the knitting. Searches in the junk and finds the other. Takes it to the settee. SLOANE sits on one end.) (Pause.) Isn’t this room gorgeous?
S1000549,P003,C0001,KATH,,That vase over there come from Bombay. Do you have any interest in that part of the world?
S1000551,P003,C0001,KATH,,Ah … it’s all the same. I don’t suppose they know the difference themselves. Are you comfortable? Let me plump your cushion. (Plumps a cushion behind his head. Laughs lightly.) I really by rights should ask you to change places. This light is showing me up. (Pause.) I blame it on the manufacturers. They make garments so thin nowadays you’d think they intended to provoke a rape.
S1000553,P003,C0001,KATH,,(breaks away) I hope I’m not. I was trying to find the letter from my little boy’s father. I treasure it. But I seem to have mislaid it. I found a lot of photos though.
S1000555,P003,C0001,KATH,,Are you interested in looking through them? (Brings the snapshots over.)
S1000557,P003,C0001,KATH,,My lover.
S1000559,P003,C0001,KATH,,It brings back memories. He reminds me of you. (Pause.) He too was handsome and in the prime of manhood. Can you wonder I fell. (Pause.) I wish he were here now to love and protect me. (Leans her arm on his shoulder. Shows him another snap.) This is me. I was younger then.
S1000561,P003,C0001,KATH,,Yes my hair was nice.
S1000563,P003,C0001,KATH,,An’ this … I don’t know whether I ought to let you see it.
S1000565,P003,C0001,KATH,,That seat is erected to the memory of Mrs Gwen Lewis. She was a lady who took a lot of trouble with invalids. (Pause.) It was near that seat that my baby was thought of.
S1000567,P003,C0001,KATH,,(shyly) Not on it exactly. Nearby …
S1000569,P003,C0001,KATH,,Yes. (Pause.) He was rough with me.
S1000571,P003,C0001,KATH,,I couldn’t describe my feelings. (Pause.) I don’t think the fastening on this thing I'm wearing will last much longer. (The snapshots slip from her hand.) There! you’ve knocked the photos on the floor.
S1000576,P003,C0001,KATH,,"Shopping, dear. Did you want me?"
S1000578,P003,C0001,KATH,,(goes to the window. Takes off her headscarf) What’s ED die doing?
S1000580,P003,C0001,KATH,,But that’s your job.
S1000582,P003,C0001,KATH,,Poor boy. (Pause.) Go and help him. For mamma’s sake.
S1000584,P003,C0001,KATH,,He’s a good employer. Studies your interests. You want to think of his position. He’s proud of it. Now you’re working for him his position is your position. (Pause.) Go and give him a hand.
S1000586,P003,C0001,KATH,,Are you too tired?
S1000588,P003,C0001,KATH,,We must make allowances for you. You’re young. (Pause.) You’re not taking advantage are you?
S1000590,P003,C0001,KATH,,I know you aren’t. When you’ve had a drinkie go and help him.
S1000592,P003,C0001,KATH,,Did mamma hear you were on the razzle?
S1000594,P003,C0001,KATH,,Did you go up West? You were late coming home. (Pause.) Very late.
S1000596,P003,C0001,KATH,,Are they nice boys?
S1000598,P003,C0001,KATH,,They aren’t roughs are they? Mamma doesn’t like you associating with them.
S1000600,P003,C0001,KATH,,Was EDwith you?
S1000602,P003,C0001,KATH,,Did you ask him? He would have come.
S1000604,P003,C0001,KATH,,Ask him next time.
S1000606,P003,C0001,KATH,,I hope you behaved yourself.
S1000608,P003,C0001,KATH,,Take no notice of her. She might not be nice.
S1000610,P003,C0001,KATH,,She might be a party girl.
S1000612,P003,C0001,KATH,,Mamma worries for you.
S1000614,P003,C0001,KATH,,Is baby cross?
S1000616,P003,C0001,KATH,,You can get into trouble saying that.
S1000618,P003,C0001,KATH,,A mamma can’t be possessive.
S1000620,P003,C0001,KATH,,You know she can’t. You’re being naughty.
S1000622,P003,C0001,KATH,,Stop it. It’s rude. Did she teach you to say that?
S1000624,P003,C0001,KATH,,What you just said.
S1000625,P003,C0001,KATH,,"You’re spoiling yourself in my eyes, Mr SLOANE. You won’t ring this girl will you?"
S1000627,P003,C0001,KATH,,Decide now. To please me. I don’t know what you see in these girls. You have your friends for company.
S1000629,P003,C0001,KATH,,What’s wrong with them? You can talk freely. Not like with a lady.
S1000631,P003,C0001,KATH,,She might be after your money.
S1000633,P003,C0001,KATH,,But ED die has. She might be after his.
S1000635,P003,C0001,KATH,,"I have to protect you, baby, because you’re easily led."
S1000637,P003,C0001,KATH,,She’ll make you ill.
S1000639,P003,C0001,KATH,,Girls do.
S1000641,P003,C0001,KATH,,Do I disgust you?
S1000643,P003,C0001,KATH,,Honest?
S1000645,P003,C0001,KATH,,"Oh, no!"
S1000647,P003,C0001,KATH,,Don’t think of such drastic action. I’d never forgive myself if I drove you away. (Pause.) I won’t any more.
S1000648,P003,C0001,KATH,,"(takes his hand) Don’t go, dear. Stay with me while I collect myself. I’ve been upset and I need comfort. (Silence.) Are you still disgusted?"
S1000650,P003,C0001,KATH,,"(takes his hand, presses it to her lips) Sorry baby. Better?"
S1000652,P003,C0001,KATH,,How good you are to me.
S1000653,P003,C0001,KATH,,"My teeth, since you mentioned the subject, Mr SLOANE: , are in the kitchen in Stergene. Usually I allow a good soak overnight. But what with one thing and another I forgot. Otherwise I would never be in such a state. (Pause.) I hate people who are careless with their dentures."
S1000655,P003,C0001,KATH,,If you’re bad go to bed.
S1000663,P003,C0001,KATH,,What a lot of foreigners there are about lately. I see one today. Playing the accordion. They live in a world of their own these people.
S1000665,P003,C0001,KATH,,No.
S1000667,P003,C0001,KATH,,I really didn’t stop long enough to ask. I just commented on the tune he was playing.
S1000669,P003,C0001,KATH,,(leans over SLOANE
S1000672,P003,C0001,KATH,,(to KEMP
S1000675,P003,C0001,KATH,,Can’t you guess.
S1000677,P003,C0001,KATH,,I know you can’t.
S1000679,P003,C0001,KATH,,"Oh, no Dadda."
S1000681,P003,C0001,KATH,,What language! You should be a splendid example to us. Instead of which you carry on like a common workman. Don’t swear like that in my presence again.
S1000683,P003,C0001,KATH,,Nothing. Aren’t the tulips glorious this year by the municipal offices. What a brave showing. They must spend a fortune.
S1000685,P003,C0001,KATH,,Mamma is going to have a … (Makes a rocking motion with her arms.)
S1000687,P003,C0001,KATH,,A little – (Looks over to KEMP
S1000688,P003,C0001,KATH,,(nods her head. Presses her mouth to his ear
S1000690,P003,C0001,KATH,,"A … bath, Dadda. You know that woman from the shops? (Pause.) You wouldn’t believe what a ridiculous spectacle she’s making of herself."
S1000692,P003,C0001,KATH,,(to SLOANE
S1000694,P003,C0001,KATH,,I was worried in case you’d be cross.
S1000696,P003,C0001,KATH,,It’s our secret. (Pause.) I’m excited.
S1000698,P003,C0001,KATH,,Why?
S1000700,P003,C0001,KATH,,Yes.
S1000702,P003,C0001,KATH,,Have I seen his pills. They’re where you left them I expect. (Goes to the sideboard. Finds bottle. Gives it to KEMP
S1000704,P003,C0001,KATH,,They’re not meant to be eaten like sweets you know.
S1000706,P003,C0001,KATH,,To inquire about the licence.
S1000708,P003,C0001,KATH,,You.
S1000710,P003,C0001,KATH,,Me. Don’t you want to? You wouldn’t abandon me? Leave me to face the music.
S1000712,P003,C0001,KATH,,When ED die hears.
S1000714,P003,C0001,KATH,,"Baby, how can we stop him?"
S1000716,P003,C0001,KATH,,I suppose we couldn’t rely on him employing you any longer.
S1000718,P003,C0001,KATH,,What? But I’m looking forward to having a new little brother.
S1000720,P003,C0001,KATH,,Please …
S1000722,P003,C0001,KATH,,Aren’t you comfy in your bed?
S1000724,P003,C0001,KATH,,"(folds her arms round him. Kisses his head) We could marry in secret. Couldn’t you give me something, baby? So’s I feel in my mind we were married?"
S1000726,P003,C0001,KATH,,A ring. Or a bracelet? You got a nice locket. I noticed it. Make me a present of that.
S1000728,P003,C0001,KATH,,As a token of your esteem. So’s I feel I belong to you.
S1000730,P003,C0001,KATH,,I’m your mamma now.
S1000732,P003,C0001,KATH,,Go on.
S1000734,P003,C0001,KATH,,You mustn’t cling to old memories. I shall begin to think you don’t love mamma.
S1000736,P003,C0001,KATH,,Then give me that present. (Unhooks the chain.) Ta.
S1000738,P003,C0001,KATH,,I’ll wear it for ever.
S1000740,P003,C0001,KATH,,(goes over. Looks in the box) It’s my gnome.
S1000742,P003,C0001,KATH,,The bad weather damaged him. His little hat come off. I sent him to the Gnomes’ Hospital to be repaired.
S1000744,P003,C0001,KATH,,Yes.
S1000752,P003,C0001,KATH,,"Mr SLOANE was coming out, ED die. I assure you."
S1000754,P003,C0001,KATH,,"You’ve a lovely colour. Let me feel your hand. Why it’s freezing. You feel his hand, Mr SLOANE"
S1000770,P003,C0001,KATH,,"I see a woolly in Boyce’s, Mr SLOANE"
S1000772,P003,C0001,KATH,,Mr SLOANE won’t mind.
S1000774,P003,C0001,KATH,,Mr SLOANE doesn’t mind me. He’s one of the family.
S1000791,P003,C0001,KATH,,"It’s no trouble, ED die."
S1000793,P003,C0001,KATH,,But he does. Often. He’s often polite to me.
S1000794,P003,C0001,KATH,,I never complain.
S1000796,P003,C0001,KATH,,He watched the telly. A programme where people guessed each other’s names.
S1000798,P003,C0001,KATH,,Nothing else.
S1000800,P003,C0001,KATH,,No.
S1000802,P003,C0001,KATH,,He’s only young.
S1000804,P003,C0001,KATH,,He’s a good boy.
S1000806,P003,C0001,KATH,,I didn’t want him here. I told him to go and help you.
S1000808,P003,C0001,KATH,,No. Yes.
S1000810,P003,C0001,KATH,,"I thought it was his rest period, ED die. You do give him a rest sometimes. I know, ’cause you’re a good employer. (Sits beside him.)."
S1000812,P003,C0001,KATH,,"To keep him occupied, I suppose."
S1000814,P003,C0001,KATH,,I’m sorry.
S1000816,P003,C0001,KATH,,He was just coming.
S1000818,P003,C0001,KATH,,I won’t any more.
S1000820,P003,C0001,KATH,,No.
S1000822,P003,C0001,KATH,,He likes his work.
S1000824,P003,C0001,KATH,,He’s a great help to me. I shall cry if he goes away. (Pause.) I shall have to take a sedative.
S1000826,P003,C0001,KATH,,No.
S1000828,P003,C0001,KATH,,I want my baby.
S1000830,P003,C0001,KATH,,I’m his mamma and he appreciates me. (Pause.) He told me.
S1000832,P003,C0001,KATH,,I can’t remember.
S1000834,P003,C0001,KATH,,"No, I didn’t say that. But he calls me mamma. I love him ’cause I have no little boy of my own. And if you send him away I shall cry like the time you took my real baby."
S1000836,P003,C0001,KATH,,I know.
S1000838,P003,C0001,KATH,,No.
S1000840,P003,C0001,KATH,,I love him like a mamma.
S1000842,P003,C0001,KATH,,I’m a trustworthy lady.
S1000844,P003,C0001,KATH,,I never wanted to do rude things. Tommy made me.
S1000846,P003,C0001,KATH,,Insisted. Pestered me he did. All summer.
S1000848,P003,C0001,KATH,,Am I?
S1000850,P003,C0001,KATH,,You’re making it up.
S1000852,P003,C0001,KATH,,He loved me.
S1000854,P003,C0001,KATH,,He wanted to marry me.
S1000856,P003,C0001,KATH,,He’d have married me only his folks were against it.
S1000858,P003,C0001,KATH,,He said they was.
S1000860,P003,C0001,KATH,,When the stork was coming.
S1000862,P003,C0001,KATH,,I have.
S1000864,P003,C0001,KATH,,"Don’t hurt me, ED die."
S1000866,P003,C0001,KATH,,No they wasn’t.
S1000868,P003,C0001,KATH,,"(pause) He wouldn’t have lied, ED. You’re telling stories."
S1000870,P003,C0001,KATH,,But he said it was ’cause I was poor. (Pause.) I couldn’t fit into the social background demanded of him. His duty came between us.
S1000872,P003,C0001,KATH,,No.
S1000874,P003,C0001,KATH,,I was loved. How can you say that?
S1000876,P003,C0001,KATH,,He sent me the letter I treasure.
S1000878,P003,C0001,KATH,,It was his last words to me.
S1000880,P003,C0001,KATH,,Did you burn my letter?
S1000882,P003,C0001,KATH,,The photo as well?
S1000884,P003,C0001,KATH,,I promised to show it to someone. I wondered why I couldn’t find it.
S1000886,P003,C0001,KATH,,I’m not wicked. I think you’re wicked. (Sniffs without dignity.)
S1000890,P003,C0001,KATH,,Mr SLOANE
S1000892,P003,C0001,KATH,,Can I call you Boy?
S1000894,P003,C0001,KATH,,Why not?
S1000896,P003,C0001,KATH,,I don’t mean in front of strangers. (Pause.) I’d be sparing with the use of the name.
S1001246,P003,C0001,KATH,,(off) What’s happened?
S1001252,P003,C0001,KATH,,If only there were some spirits in the house. Unfortunately I don’t drink myself. (She loosens KEMP
S1001254,P003,C0001,KATH,,"Speak to me, Dadda. (Pause.) He’s been off his food for some time. (Pause.) He’s cut his lip."
S1001258,P003,C0001,KATH,,Yes. Let him lie still and he’ll get his feelings back. ( EDexits with KEMP
S1001260,P003,C0001,KATH,,You admit it? Did he provoke you?
S1001262,P003,C0001,KATH,,What a thing to do. Hit an old man. It’s not like you. You’re usually so gentle.
S1001264,P003,C0001,KATH,,"He can be aggravating I know, but you shouldn’t resort to violence, dear. (Pause.) Did he insult you? (Pause.) Was it a bad word? (Pause.) I don’t expect you can tell me what it was. I’d blush."
S1001266,P003,C0001,KATH,,You’re exaggerating. You’re not that type of young man. (Pause.) But don’t do it again. Mamma wouldn’t like it. (EDenters.) Is he all right?
S1001268,P003,C0001,KATH,,I’ll go up to him.
S1001270,P003,C0001,KATH,,"Sleeping off the excitement, is he? (Exit.)"
S1001278,P003,C0001,KATH,,"I’d take up a toffee, but he only gets them stuck round his teeth."
S1001280,P003,C0001,KATH,,"Let Mr SLOANE regain his composure, ED. Let him collect his thoughts. Forget the incident. (She goes upstage, begins to hum ‘The Indian Love Call’.)"
S1001282,P003,C0001,KATH,,He meant no harm.
S1001284,P003,C0001,KATH,,My housework. I mustn’t neglect my chores.
